brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_group,car_age,price_per_hp,price_per_liter,age_bucket,price_bucket
nissan,micra,Nissan Micra,40000.0,2018,1,80.0,0,petrol,1.2,1,0,0,0,0,0,Budget,7,500.0,33333.333333333336,7-10,0-50k
nissan,qashqai,Nissan Qashqai,63000.0,2017,2,130.0,0,diesel,1.6,0,1,1,1,0,0,Budget,8,484.61538461538464,39375.0,7-10,50-100k
hyundai,ioniq,Hyundai Ioniq,116900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0,0,Budget,4,829.0780141843971,73062.5,4-6,100-200k
suzuki,ignis,Suzuki Ignis,70000.0,2021,1,83.0,0,hybrid,1.2,0,1,1,0,0,0,Budget,4,843.3734939759037,58333.333333333336,4-6,50-100k
hyundai,i10,Hyundai i10,72900.0,2021,1,84.0,0,petrol,1.2,1,1,1,0,0,0,Budget,4,867.8571428571429,60750.0,4-6,50-100k
mazda,3,Mazda 3,54900.0,2016,1,120.0,0,petrol,1.5,1,1,0,1,0,0,Other,9,457.5,36600.0,7-10,50-100k
nissan,qashqai,Nissan Qashqai,100000.0,2019,1,115.0,0,petrol,1.2,0,1,1,0,0,0,Budget,6,869.5652173913044,83333.33333333334,4-6,50-100k
bmw,7 series,BMW 7 Series,77000.0,2014,6,258.0,0,petrol,3.0,1,1,0,0,0,0,Luxury,11,298.4496124031008,25666.666666666668,11-15,50-100k
kia,sportage,Kia Sportage,88000.0,2019,1,155.0,0,petrol,2.0,0,1,1,0,0,0,Budget,6,567.741935483871,44000.0,4-6,50-100k
hyundai,sonata hybrid,Hyundai Sonata Hybrid,3000.0,2019,2,154.0,0,hybrid,2.0,0,1,1,0,1,1,Budget,6,19.48051948051948,1500.0,4-6,0-50k
kia,picanto,Kia Picanto,79800.0,2022,1,84.0,0,petrol,1.2,0,1,1,0,0,0,Budget,3,950.0,66500.0,0-3,50-100k
chevrolet,trax,Chevrolet Trax,44900.0,2017,1,140.0,0,electric,1.4,0,1,1,1,0,0,Budget,8,320.7142857142857,32071.428571428572,7-10,0-50k
nissan,x-trail,Nissan X-Trail,115000.0,2020,2,150.0,1,diesel,1.7,0,1,1,1,0,0,Budget,5,766.6666666666666,67647.05882352941,4-6,100-200k
skoda,octavia,Skoda Octavia,99800.0,2021,1,110.0,0,petrol,1.0,1,0,0,0,0,0,Budget,4,907.2727272727273,99800.0,4-6,50-100k
toyota,corolla hybrid,Toyota Corolla Hybrid,111900.0,2022,1,98.0,0,hybrid,1.8,0,1,1,0,0,0,Budget,3,1141.8367346938776,62166.666666666664,0-3,100-200k
chevrolet,trax,Chevrolet Trax,69000.0,2019,2,140.0,0,electric,1.4,1,1,1,0,0,0,Budget,6,492.85714285714283,49285.71428571429,4-6,50-100k
citroën,berlingo,Citroen Berlingo 3rd generation (2018 onwards),79000.0,2020,1,130.0,0,diesel,1.5,1,0,1,1,0,0,Other,5,607.6923076923077,52666.666666666664,4-6,50-100k
lexus,rx350,Lexus RX350,25000.0,2007,5,276.0,1,petrol,3.5,1,1,0,0,0,0,Luxury,18,90.57971014492753,7142.857142857143,15+,0-50k
nissan,qashqai,Nissan Qashqai,43375.0,2015,3,115.0,0,petrol,1.2,1,1,0,1,0,0,Budget,10,377.17391304347825,36145.833333333336,7-10,0-50k
seres,seres 3,SRS / SERES SERES 3,112000.0,2022,1,163.0,0,electric,,0,0,1,1,0,0,Other,3,687.1165644171779,,0-3,100-200k
chevrolet,savanna,Chevrolet Savanna long,147000.0,2020,1,181.0,0,diesel,4.5,1,0,0,0,0,0,Budget,5,812.1546961325967,32666.666666666668,4-6,100-200k
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),65000.0,2019,1,100.0,0,diesel,1.6,1,0,1,1,0,0,Other,6,650.0,40625.0,4-6,50-100k
chevrolet,spark,Chevrolet Spark,42000.0,2017,2,98.0,0,electric,1.4,1,0,1,0,0,0,Budget,8,428.57142857142856,30000.000000000004,7-10,0-50k
volkswagen,tiguan,Volkswagen Tiguan,200000.0,2022,1,190.0,1,petrol,2.0,0,0,1,0,1,1,Other,3,1052.6315789473683,100000.0,0-3,100-200k
subaru,forester,Subaru Forester,42000.0,2011,3,150.0,1,petrol,2.0,1,0,0,0,0,0,Other,14,280.0,21000.0,11-15,0-50k
audi,q7,Audi Q7,216000.0,2018,2,374.0,1,hybrid,3.0,1,0,0,1,0,0,Luxury,7,577.5401069518716,72000.0,7-10,200-400k
toyota,land cruiser,Toyota Land Cruiser short,168000.0,2017,5,177.0,1,diesel,2.8,0,0,0,0,0,0,Budget,8,949.1525423728814,60000.00000000001,7-10,100-200k
toyota,land cruiser,Toyota Land Cruiser long,123000.0,2008,1,173.0,1,diesel,3.0,1,0,0,0,0,0,Budget,17,710.9826589595376,41000.0,15+,100-200k
alfa romeo,stelvio,Alfa Romeo Stelvio,140000.0,2018,3,200.0,1,petrol,2.0,1,1,1,0,0,0,Other,7,700.0,70000.0,7-10,100-200k
mitsubishi,eclipse cross,Mitsubishi Eclipse Cross,88000.0,2019,2,163.0,0,petrol,1.5,1,1,1,0,0,0,Other,6,539.8773006134969,58666.666666666664,4-6,50-100k
subaru,forester,Subaru Forester,45000.0,2012,3,150.0,1,petrol,2.0,1,0,0,0,0,0,Other,13,300.0,22500.0,11-15,0-50k
opel,insignia,Opel Insignia,18000.0,2012,3,220.0,0,petrol,2.0,1,0,0,0,0,0,Other,13,81.81818181818181,9000.0,11-15,0-50k
peugeot,3008,Peugeot 3008,98000.0,2019,1,130.0,0,diesel,1.5,0,1,1,1,0,0,Other,6,753.8461538461538,65333.333333333336,4-6,50-100k
hyundai,tucson,Hyundai Tucson,122900.0,2021,2,180.0,0,petrol,1.6,1,1,1,0,0,0,Budget,4,682.7777777777778,76812.5,4-6,100-200k
hyundai,tucson,Hyundai Tucson,105000.0,2020,1,177.0,0,petrol,1.6,0,1,1,0,1,1,Budget,5,593.2203389830509,65625.0,4-6,100-200k
mercedes-benz,gle,Mercedes GLE,209900.0,2017,2,333.0,1,hybrid,3.0,0,1,0,1,0,0,Luxury,8,630.3303303303303,69966.66666666667,7-10,200-400k
hyundai,unknown,Hyundai and New,94000.0,2022,1,123.0,0,petrol,1.6,1,1,1,0,0,0,Budget,3,764.2276422764228,58750.0,0-3,50-100k
chevrolet,trailblazer,Chevrolet Trail Blazer,108000.0,2021,1,155.0,1,electric,1.3,1,1,1,0,0,0,Budget,4,696.7741935483871,83076.92307692308,4-6,100-200k
peugeot,3008,Peugeot 3008,104262.0,2017,1,165.0,0,petrol,1.6,0,1,1,1,0,0,Other,8,631.8909090909091,65163.75,7-10,100-200k
mazda,6,Mazda 6,152000.0,2022,1,195.0,0,petrol,2.5,0,1,1,0,1,1,Other,3,779.4871794871794,60800.0,0-3,100-200k
