brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
cadillac,srx,Cadillac SRX,58200.0,2014,3,314.0,1,petrol,3.6,0,0,0,0,0,0,cadillac,Luxury,Cadillac,SRX
mitsubishi,outlander,Mitsubishi Outlander,8000.0,2016,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Outlander
kia,sportage,Kia Sportage,66000.0,2017,1,132.0,0,petrol,1.6,0,0,0,0,0,0,kia,Budget,Kia,Sportage
opel,zafira,Opal Zafira,1000.0,2012,2,140.0,0,petrol,1.4,0,0,0,0,0,0,opel,Other,Opel,Zafira
bmw,3 series,BMW 3 Series,22000.0,1998,6,,0,petrol,1.8,0,0,0,0,0,0,bmw,Luxury,BMW,3 Series
lexus,gs300,Lexus GS300,29900.0,2011,4,249.0,0,petrol,3.0,0,1,0,0,0,0,lexus,Luxury,Lexus,GS300
mitsubishi,triton,Mitsubishi Triton / L200 2X4,149900.0,2020,1,154.0,0,diesel,2.4,0,1,0,1,0,0,mitsubishi,Other,Mitsubishi,Triton / L200 2X4
hyundai,sonata,Hyundai Sonata,124900.0,2021,1,180.0,0,petrol,1.6,0,0,0,0,1,1,hyundai,Budget,Hyundai,Sonata
kia,picanto,Kia Picanto,59900.0,2021,3,84.0,0,petrol,1.2,0,1,1,0,0,0,kia,Budget,Kia,Picanto
kia,picanto,Kia Picanto,38000.0,2014,2,85.0,0,petrol,1.2,1,1,0,0,0,0,kia,Budget,Kia,Picanto
mazda,3,Mazda 3,15500.0,2009,3,105.0,0,petrol,1.6,1,1,0,0,0,0,mazda,Other,Mazda,3
skoda,octavia,Skoda Octavia,42000.0,2016,4,110.0,0,petrol,1.2,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
toyota,rav4 hybrid,Toyota RAV4 Hybrid,167000.0,2019,1,178.0,0,hybrid,2.5,0,0,1,0,1,1,toyota,Budget,Toyota,RAV4 Hybrid
